Id,Abstract,Task 2
D06501,"in this paper we present the creative invention benchmark (crib), a 2000-problem benchmark for evaluating a particular facet of computational creativity.$$$specifically, we address combinational p-creativity, the creativity at play when someone combines existing knowledge to achieve a solution novel to that individual.$$$we present generation strategies for the five problem categories of the benchmark and a set of initial baselines.",OTHERS
D02945,"computer algorithms are written with the intent that when run they perform a useful function.$$$typically any information obtained is unknown until the algorithm is run.$$$however, if the behavior of an algorithm can be fully described by precomputing just once how this algorithm will respond when executed on any input, this precomputed result provides a complete specification for all solutions in the problem domain.$$$we apply this idea to a previous anomaly detection algorithm, and in doing so transform it from one that merely detects individual anomalies when asked to discover potentially anomalous values, into an algorithm also capable of generating a complete specification for those values it would deem to be anomalous.$$$this specification is derived by examining no more than a small training data, can be obtained in very small constant time, and is inherently far more useful than results obtained by repeated execution of this tool.$$$for example, armed with such a specification one can ask how close an anomaly is to being deemed normal, and can validate this answer not by exhaustively testing the algorithm but by examining if the specification so generated is indeed correct.$$$this powerful idea can be applied to any algorithm whose runtime behavior can be recovered from its construction and so has wide applicability.",ENGINEERING
D02025,"the problem of finding the maximum number of vertex-disjoint uni-color paths in an edge-colored graph (called maxcdp) has been recently introduced in literature, motivated by applications in social network analysis.$$$in this paper we investigate how the complexity of the problem depends on graph parameters (namely the number of vertices to remove to make the graph a collection of disjoint paths and the size of the vertex cover of the graph), which makes sense since graphs in social networks are not random and have structure.$$$the problem was known to be hard to approximate in polynomial time and not fixed-parameter tractable (fpt) for the natural parameter.$$$here, we show that it is still hard to approximate, even in fpt-time.$$$finally, we introduce a new variant of the problem, called maxcddp, whose goal is to find the maximum number of vertex-disjoint and color-disjoint uni-color paths.$$$we extend some of the results of maxcdp to this new variant, and we prove that unlike maxcdp, maxcddp is already hard on graphs at distance two from disjoint paths.",THEORETICAL
D00264,"real-world machine learning applications often have complex test metrics, and may have training and test data that follow different distributions.$$$we propose addressing these issues by using a weighted loss function with a standard convex loss, but with weights on the training examples that are learned to optimize the test metric of interest on the validation set.$$$these metric-optimized example weights can be learned for any test metric, including black box losses and customized metrics for specific applications.$$$we illustrate the performance of our proposal with public benchmark datasets and real-world applications with domain shift and custom loss functions that balance multiple objectives, impose fairness policies, and are non-convex and non-decomposable.",THEORETICAL
D04351,"typically an ontology matching technique is a combination of much different type of matchers operating at various abstraction levels such as structure, semantic, syntax, instance etc.$$$an ontology matching technique which employs matchers at all possible abstraction levels is expected to give, in general, best results in terms of precision, recall and f-measure due to improvement in matching opportunities and if we discount efficiency issues which may improve with better computing resources such as parallel processing.$$$a gold standard ontology matching model is derived from a model classification of ontology matching techniques.$$$a suitable metric is also defined based on gold standard ontology matching model.$$$a review of various ontology matching techniques specified in recent research papers in the area was undertaken to categorize an ontology matching technique as per newly proposed gold standard model and a metric value for the whole group was computed.$$$the results of the above study support proposed gold standard ontology matching model.",EMPIRICAL
D03425,"this paper focuses on improved edge model based on curvelet coefficients analysis.$$$curvelet transform is a powerful tool for multiresolution representation of object with anisotropic edge.$$$curvelet coefficients contributions have been analyzed using scale invariant feature transform (sift), commonly used to study local structure in images.$$$the permutation of curvelet coefficients from original image and edges image obtained from gradient operator is used to improve original edges.$$$experimental results show that this method brings out details on edges when the decomposition scale increases.",ENGINEERING
D06749,"the automatic parking is being massively developed by car manufacturers and providers.$$$until now, there are two problems with the automatic parking.$$$first, there is no openly-available segmentation labels of parking slot on panoramic surround view (psv) dataset.$$$second, how to detect parking slot and road structure robustly.$$$therefore, in this paper, we build up a public psv dataset.$$$at the same time, we proposed a highly fused convolutional network (hfcn) based segmentation method for parking slot and lane markings based on the psv dataset.$$$a surround-view image is made of four calibrated images captured from four fisheye cameras.$$$we collect and label more than 4,200 surround view images for this task, which contain various illuminated scenes of different types of parking slots.$$$a vh-hfcn network is proposed, which adopts an hfcn as the base, with an extra efficient vh-stage for better segmenting various markings.$$$the vh-stage consists of two independent linear convolution paths with vertical and horizontal convolution kernels respectively.$$$this modification enables the network to robustly and precisely extract linear features.$$$we evaluated our model on the psv dataset and the results showed outstanding performance in ground markings segmentation.$$$based on the segmented markings, parking slots and lanes are acquired by skeletonization, hough line transform and line arrangement.",THEORETICAL ENGINEERING
D06216,"understanding nonlinear dynamical systems (nldss) is challenging in a variety of engineering and scientific fields.$$$dynamic mode decomposition (dmd), which is a numerical algorithm for the spectral analysis of koopman operators, has been attracting attention as a way of obtaining global modal descriptions of nldss without requiring explicit prior knowledge.$$$however, since existing dmd algorithms are in principle formulated based on the concatenation of scalar observables, it is not directly applicable to data with dependent structures among observables, which take, for example, the form of a sequence of graphs.$$$in this paper, we formulate koopman spectral analysis for nldss with structures among observables and propose an estimation algorithm for this problem.$$$this method can extract and visualize the underlying low-dimensional global dynamics of nldss with structures among observables from data, which can be useful in understanding the underlying dynamics of such nldss.$$$to this end, we first formulate the problem of estimating spectra of the koopman operator defined in vector-valued reproducing kernel hilbert spaces, and then develop an estimation procedure for this problem by reformulating tensor-based dmd.$$$as a special case of our method, we propose the method named as graph dmd, which is a numerical algorithm for koopman spectral analysis of graph dynamical systems, using a sequence of adjacency matrices.$$$we investigate the empirical performance of our method by using synthetic and real-world data.",THEORETICAL ENGINEERING
D06363,"a body of literature has demonstrated that users' mental health conditions, such as depression and anxiety, can be predicted from their social media language.$$$there is still a gap in the scientific understanding of how psychological stress is expressed on social media.$$$stress is one of the primary underlying causes and correlates of chronic physical illnesses and mental health conditions.$$$in this paper, we explore the language of psychological stress with a dataset of 601 social media users, who answered the perceived stress scale questionnaire and also consented to share their facebook and twitter data.$$$firstly, we find that stressed users post about exhaustion, losing control, increased self-focus and physical pain as compared to posts about breakfast, family-time, and travel by users who are not stressed.$$$secondly, we find that facebook language is more predictive of stress than twitter language.$$$thirdly, we demonstrate how the language based models thus developed can be adapted and be scaled to measure county-level trends.$$$since county-level language is easily available on twitter using the streaming api, we explore multiple domain adaptation algorithms to adapt user-level facebook models to twitter language.$$$we find that domain-adapted and scaled social media-based measurements of stress outperform sociodemographic variables (age, gender, race, education, and income), against ground-truth survey-based stress measurements, both at the user- and the county-level in the u.s. twitter language that scores higher in stress is also predictive of poorer health, less access to facilities and lower socioeconomic status in counties.$$$we conclude with a discussion of the implications of using social media as a new tool for monitoring stress levels of both individuals and counties.",EMPIRICAL
D05590,"there are now several large scale deployments of differential privacy used to collect statistical information about users.$$$however, these deployments periodically recollect the data and recompute the statistics using algorithms designed for a single use.$$$as a result, these systems do not provide meaningful privacy guarantees over long time scales.$$$moreover, existing techniques to mitigate this effect do not apply in the ""local model"" of differential privacy that these systems use.$$$in this paper, we introduce a new technique for local differential privacy that makes it possible to maintain up-to-date statistics over time, with privacy guarantees that degrade only in the number of changes in the underlying distribution rather than the number of collection periods.$$$we use our technique for tracking a changing statistic in the setting where users are partitioned into an unknown collection of groups, and at every time period each user draws a single bit from a common (but changing) group-specific distribution.$$$we also provide an application to frequency and heavy-hitter estimation.",THEORETICAL
D00133,"integrating model-free and model-based approaches in reinforcement learning has the potential to achieve the high performance of model-free algorithms with low sample complexity.$$$however, this is difficult because an imperfect dynamics model can degrade the performance of the learning algorithm, and in sufficiently complex environments, the dynamics model will almost always be imperfect.$$$as a result, a key challenge is to combine model-based approaches with model-free learning in such a way that errors in the model do not degrade performance.$$$we propose stochastic ensemble value expansion (steve), a novel model-based technique that addresses this issue.$$$by dynamically interpolating between model rollouts of various horizon lengths for each individual example, steve ensures that the model is only utilized when doing so does not introduce significant errors.$$$our approach outperforms model-free baselines on challenging continuous control benchmarks with an order-of-magnitude increase in sample efficiency, and in contrast to previous model-based approaches, performance does not degrade in complex environments.",THEORETICAL ENGINEERING
D06407,"a network covert channel is created that uses resource names such as addresses to convey information, and that approximates typical user behavior in order to blend in with its environment.$$$the channel correlates available resource names with a user defined code-space, and transmits its covert message by selectively accessing resources associated with the message codes.$$$in this paper we focus on an implementation of the channel using the hypertext transfer protocol (http) with uniform resource locators (urls) as the message names, though the system can be used in conjunction with a variety of protocols.$$$the covert channel does not modify expected protocol structure as might be detected by simple inspection, and our http implementation emulates transaction level web user behavior in order to avoid detection by statistical or behavioral analysis.",ENGINEERING
